reversal_age_Ma
0.781
0.988
1.072
1.173
1.185
1.778
1.945
2.128
2.148
2.581
3.032
3.116
3.207
3.33
3.596
4.187
4.3
4.493
4.631
4.799
4.896
4.997
5.235
6.033
6.252
6.436
6.733
7.14
7.212
7.251
7.285
7.454
7.489
7.528
7.642
7.695
8.108
8.254
8.3
8.769
9.098
9.321
9.409
9.656
9.717
9.779
9.934
9.987
10.116
10.215
10.466
10.559
10.649
10.724
10.943
11.052
11.099
11.476
11.531
11.555
11.584
11.632
11.657
11.989
12.018
12.115
12.207
12.31
12.474
12.735
12.77
12.829
12.887
13.032
13.183
13.363
13.608
13.739
14.07
14.163
14.609
14.775
14.87
15.032
15.16
15.974
16.268
16.303
16.472
16.543
16.721
16.726
17.235
17.533
17.717
17.74
18.056
18.524
18.748
18.77
19.722
20.04
20.213
20.439
20.709
21.083
21.159
21.403
21.483
21.659
22.203
22.564
22.754
22.902
23.03
23.233
23.295
23.962
24.0
24.109
24.474
24.761
24.984
25.099
25.264
25.304
25.987
26.42
27.439
27.859
28.087
28.141
28.278
28.512
29.401
29.662
29.765
30.098
30.479
30.939
33.058
33.545
34.97
35.294
35.706
36.355
36.668
38.426
39.627
40.145
41.154
41.251
41.51
42.301
42.764
43.505
44.396
45.724
46.235
47.349
48.566
49.344
49.715
50.778
50.946
51.047
51.743
52.364
52.663
52.757
52.801
52.903
53.347
53.808
54.131
54.3
55.904
56.391
57.554
57.911
60.92
61.276
62.499
63.494
63.897
64.745
65.118
65.861
67.696
67.736
68.732
69.269
71.071
71.338
71.587
73.004
73.291
73.374
73.619
79.075
83.0
